trade_date,asset,weight,shares,close,market_value
2024-01-05,601528.SH,0.036266813666882426,6700,5.46,36582.0
2024-01-05,002807.SZ,0.03356033503502553,9300,3.64,33852.0
2024-01-05,600908.SH,0.033543481505083565,6700,5.05,33835.0
2024-01-05,601339.SH,0.033504817524628465,6800,4.97,33796.0
2024-01-05,600502.SH,0.033504817524628465,7100,4.76,33796.0
2024-01-05,601860.SH,0.03337692897389237,13100,2.57,33667.0
2024-01-05,603323.SH,0.0332857216353829,7900,4.25,33575.0
2024-01-05,000090.SZ,0.03323317827732854,7400,4.53,33522.0
2024-01-05,002839.SZ,0.03320145398567308,8500,3.94,33490.0
2024-01-05,002002.SZ,0.033199471217444605,36400,0.92,33488.0
2024-01-05,603603.SH,0.03319154014453074,27000,1.24,33480.0
2024-01-05,600064.SH,0.03315188477996141,5500,6.08,33440.0
2024-01-05,600665.SH,0.03312016048830595,8700,3.84,33408.0
2024-01-05,002061.SZ,0.03301309100396875,9000,3.7,33300.0
2024-01-05,600694.SH,0.03300119439459795,1900,17.52,33288.0
2024-01-05,600035.SH,0.03291395259254542,8300,4.0,33200.0
2024-01-05,600658.SH,0.03285050400923449,7600,4.36,33136.0
2024-01-05,002081.SZ,0.03282274525403595,8900,3.72,33108.0
2024-01-05,601101.SH,0.03279002957826626,4900,6.75,33075.0
2024-01-05,600340.SH,0.032749382829582695,19900,1.66,33034.0
